City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Lydenburg,ZA,-25.0978,30.4597,50.4,67,0,1.05,clear sky
198,Port Shepstone,ZA,-30.7414,30.455,61.72,81,0,7.36,clear sky
199,Sarkand,KZ,45.41,79.9186,79.81,26,3,0.78,clear sky
200,Puro,PH,12.4841,123.3827,82.83,79,100,8.52,light rain
201,Les Cayes,HT,18.2,-73.75,78.8,85,100,4.43,overcast clouds
202,Huarmey,PE,-10.0681,-78.1522,62.58,86,74,8.86,broken clouds
203,Sarmizegetusa,RO,45.5167,22.7833,51.66,84,38,5.01,scattered clouds
204,Minab,IR,27.1467,57.0801,88.12,74,0,0.0,clear sky
205,Kavaratti,IN,10.5669,72.642,81.39,80,99,19.73,overcast clouds
206,Souillac,MU,-20.5167,57.5167,70.18,73,40,14.97,scattered clouds
207,Katsuura,JP,35.1333,140.3,80.71,76,38,6.69,scattered clouds
208,Kodiak,US,57.79,-152.4072,69.31,46,0,13.8,clear sky
209,East London,ZA,-33.0153,27.9116,59.95,60,5,12.41,clear sky
210,Omboue,GA,-1.5746,9.2618,68.29,85,45,4.97,scattered clouds
211,Biltine,TD,14.5333,20.9167,85.55,23,66,3.33,broken clouds
212,Santiago Del Estero,AR,-27.7951,-64.2615,62.58,45,4,14.34,clear sky
213,Khairabad,IN,27.5333,80.75,92.41,50,8,10.25,clear sky
214,La Brea,HN,15.8,-85.9667,76.5,94,100,4.14,overcast clouds
215,Scarborough,GB,54.2797,-0.4044,58.91,85,4,4.63,clear sky
216,Imeni Poliny Osipenko,RU,52.4201,136.4853,80.01,55,96,5.99,overcast clouds
217,Port Moresby,PG,-9.4431,147.1797,87.22,62,40,13.8,haze
218,Willmar,US,45.1219,-95.0433,82.42,79,0,6.91,clear sky
219,Barabinsk,RU,55.3571,78.357,72.79,75,23,6.38,few clouds
220,Hirara,JP,24.8,125.2833,89.46,74,40,8.05,scattered clouds
221,Barrow,US,71.2906,-156.7887,55.42,71,0,8.05,clear sky
222,Salinas,US,36.6777,-121.6555,81.01,66,0,13.8,clear sky
223,Cap Malheureux,MU,-19.9842,57.6142,68.47,75,16,8.01,light rain
224,Awjilah,LY,29.1081,21.2869,76.08,50,0,12.01,clear sky
225,Bengkulu,ID,-3.8004,102.2655,79.41,75,100,2.48,overcast clouds
226,Sept-Iles,CA,50.2001,-66.3821,59.52,91,100,3.44,overcast clouds
227,Svetlogorsk,BY,52.6333,29.7333,52.18,95,88,6.82,overcast clouds
228,Ayios Nikolaos,GR,38.4167,23.65,75.78,54,0,4.94,clear sky
229,Muisne,EC,0.6,-80.0333,73.94,83,91,7.72,overcast clouds
230,Lobva,RU,59.1854,60.5185,72.64,69,81,3.65,broken clouds
231,Amalapuram,IN,16.5833,82.0167,78.06,77,100,13.35,overcast clouds
232,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,40,14.97,light rain
233,Haines Junction,CA,60.7522,-137.5108,66.15,45,100,3.44,overcast clouds
234,Ferme-Neuve,CA,46.7001,-75.4493,62.11,80,68,4.41,broken clouds
235,Ambanja,MG,-13.6833,48.45,62.76,69,0,4.03,clear sky
236,Cabedelo,BR,-6.9811,-34.8339,74.07,82,2,11.59,clear sky
237,Yueyang,CN,29.3333,113.0919,91.81,63,75,16.91,broken clouds
238,Robertsport,LR,6.7533,-11.3686,77.32,79,86,9.91,light rain
239,San Rafael Del Sur,NI,11.8485,-86.4384,77.97,85,100,10.0,overcast clouds
240,Cayhagan,PH,9.6697,122.4256,83.23,77,90,11.59,overcast clouds
241,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,79.39,57,20,13.42,few clouds
242,Kahului,US,20.8947,-156.47,87.82,56,40,25.32,scattered clouds
243,Minbu,MM,20.1833,94.8833,83.03,74,93,11.72,overcast clouds
244,Kurush,RU,41.2841,47.8345,56.59,52,0,7.27,clear sky
245,Chimbote,PE,-9.0853,-78.5783,62.64,82,76,9.89,broken clouds
246,Egvekinot,RU,66.3167,-179.1667,44.06,80,100,3.78,overcast clouds
247,Loubomo,CG,-4.1997,12.6739,62.33,95,83,2.93,broken clouds
248,Gbadolite,CD,4.2833,21.0167,69.67,96,99,1.63,overcast clouds
249,Jambi,ID,-1.6,103.6167,85.21,61,48,4.63,scattered clouds
250,Kamenka,RU,51.3223,42.7678,71.51,53,66,15.75,broken clouds
251,Walvis Bay,NA,-22.9575,14.5053,51.1,93,0,5.75,clear sky
252,Kindu,CD,-2.95,25.95,68.94,54,92,0.83,overcast clouds
253,Ilulissat,GL,69.2167,-51.1,41.02,87,100,3.44,overcast clouds
254,Staryy Merchyk,UA,49.9815,35.759,63.99,92,100,3.29,light rain
255,Bolshaya Dzhalga,RU,45.9695,42.6966,76.46,39,100,5.5,overcast clouds
256,Kokopo,PG,-4.352,152.2633,85.98,63,94,11.5,overcast clouds
257,Komatipoort,ZA,-25.4332,31.9548,59.47,54,0,4.59,clear sky
258,Hasaki,JP,35.7333,140.8333,90.28,78,50,8.03,scattered clouds
259,Brae,GB,60.3964,-1.353,54.28,93,100,10.85,overcast clouds
260,Isangel,VU,-19.55,169.2667,84.31,74,75,6.91,light rain
261,Aitape,PG,-3.1374,142.3475,85.84,64,100,7.18,overcast clouds
262,Klang,MY,3.0333,101.45,85.55,89,20,2.3,few clouds
263,Naze,JP,28.3667,129.4833,86.92,75,42,10.29,scattered clouds
264,Margherita,IN,27.2833,95.6833,85.93,81,45,2.42,scattered clouds
265,Canmore,CA,51.0834,-115.3521,66.81,36,73,4.61,broken clouds
266,Shahr-E Babak,IR,30.1165,55.1186,81.91,44,80,2.35,broken clouds
267,Mutoko,ZW,-17.397,32.2268,51.87,76,55,2.77,broken clouds
268,Yarkovo,RU,57.4028,67.0786,74.73,70,23,6.91,few clouds
269,Ratnagiri,IN,16.9833,73.3,79.36,86,100,23.42,heavy intensity rain
270,Paamiut,GL,61.994,-49.6678,38.68,93,56,19.46,broken clouds
271,La Joya,MX,18.6667,-99.4667,69.93,88,36,4.09,scattered clouds
272,Bosaso,SO,11.2842,49.1816,85.21,46,92,25.64,overcast clouds
273,Mahibadhoo,MV,3.7833,72.9667,81.91,75,100,7.9,moderate rain
274,Inhambane,MZ,-23.865,35.3833,65.61,81,0,10.02,clear sky
275,Suntar,RU,62.1444,117.6319,69.69,63,80,3.85,broken clouds
276,Oktyabrskiy,RU,54.4815,53.471,68.52,78,10,3.22,clear sky
277,Tual,ID,-5.6667,132.75,80.13,80,98,20.56,overcast clouds
